Code postal;Numéro;Implantation;Précision de l’implantation;Date de mise en service;lon;lat
75014;56510;Avenue Maurice d'Ocagne, avenue Georges Lafenestre;croisement;17/02/12;2.31121665;48.82508935
75008;56522;Place Prosper Goubaux, boulevard des Batignolles;croisement;27/01/12;2.3164985;48.88131955
75007;56538;Rue de la Comète, rue de Grenelle;croisement;21/12/11;2.3093353;48.8580286
75004;56633;Rue Pavée, rue du Roi de Sicile;croisement;20/01/12;2.3602088;48.8557079
75010;56959;Rue du Faubourg Saint-Martin, boulevard de Magenta;croisement;19/10/12;2.35831476;48.8737684
75001;57222;Rue Saint-Honoré, place Vendôme;croisement;07/09/12;2.3285827;48.8666152
75009;57584;Rue de Châteaudun, rue La Fayette;croisement;09/11/12;2.3431434;48.8756741
75017;58185;Place Paul Léautaud, boulevard Berthier;croisement;15/06/12;2.29795545;48.88722905
75012;58302;Avenue Daumesnil, boulevard Diderot;croisement;05/10/12;2.37733003636364;48.8463109
75013;58448;Avenue de France, boulevard Vincent Auriol;croisement;21/12/11;2.371460525;48.83624565
75013;58557;Boulevard Saint-Marcel, boulevard de l'Hôpital;croisement;01/06/12;2.36174453333333;48.8399432333333
75007;58617;Boulevard des Invalides, rue de Grenelle;croisement;20/04/12;2.3151145;48.8579538
75017;58709;Rue de Saussure, boulevard Pereire;croisement;13/01/12;2.3110955;48.8878424
75007;59027;Avenue Bosquet, rue du Champ de Mars;croisement;11/05/12;2.304791275;48.856203625
75004;59063;Quai de l'Hôtel de Ville, Pont d'Arcole;croisement;22/06/12;2.3509036;48.855984
